-88	-90		-68		-68													-78																				-62	-60																																								-76																																					north
-88	-88	-94			-66				-94																													-68	-68														-68																									-74																																						north
-94	-88		-72		-68				-94																													-62	-68																																									-80																																				north
-90	-88		-68		-66				-94																													-66	-68																																																																													north
-96	-90		-72		-66																																	-66	-62																																										-76																																			north
-94	-90		-72		-68																																	-68	-68																																																																													north
-94	-88	-96	-72		-66										-92																								-68																																										-88																																			north
-94	-90		-72		-66				-94								-90																						-70																																																																													north
-92	-88		-68		-68																																		-66																																										-88																																			north
	-90	-94	-72		-66				-96																														-66																																							-74																																						north
-90	-86		-74		-68																																		-70																																																																													north
-90	-86		-70		-66													-80																					-64																																																																													north
-90	-88	-94	-72																																				-80																																								-80	-70	-86																																			north
-90	-86	-92	-74		-66																		-88																-70																																																																													north
-92	-90				-68														-88																				-68																																								-76	-74																																				north
-90	-90		-74		-66																																		-68														-68																																																															north
-90	-88	-94	-70		-68																																		-70																																																																													north
-90	-88		-72		-66				-94																														-66																																																																													north
-94	-90	-94	-70		-68																																		-80																																										-76																																			north
-90	-86		-70		-68																																		-66																																																																													north
-92			-70		-68																																		-68																																										-86																																			north
-90	-92		-70		-68																																		-66														-74																									-68																																						north
-90	-90		-70		-66																			-88															-68																																										-88																																			north
-90	-90		-70		-68													-82																																			-68																																																															north
-92	-90		-70		-68																																		-72																																																																													north
-92	-88		-70		-68				-94	-96																																																																				-68																																						north
-94	-90		-74		-66				-94	-96																													-70																																																																													north
-94	-86		-70		-68																																																																																																															north
-92	-88		-70		-66																			-94															-66																																									-66																																				north
-90	-90	-94	-70		-68				-94	-96																													-68														-76																																																															north
	-90		-70		-68																																		-68																																										-88																																			north
	-90		-74		-66																																		-64														-68																																																															north
-92	-86		-74		-68																																		-64																																							-72																																						north
-92	-90				-66														-88																				-62																																																																													north
-90	-88		-70																																				-64																																									-78																																				north
-94	-90	-94	-70		-68													-80	-86																				-64																																																																													north
-92	-90		-74		-66					-96														-88																																																						-68																																						north
-92	-92		-70		-66																																		-62														-76																																																															north
-94	-90		-70		-68																		-90																-62																																							-74			-88																																			north
	-90		-74		-66													-80																					-74														-68																																																															north
-90	-90		-70		-68																																		-64																																																																													north
-90	-88		-70		-68					-96																																																																																																										north
-94	-88				-68																			-94															-62																																																																													north
-94	-88		-72		-66																																		-64																																																																													north
	-88		-70		-66				-94																														-64																																							-68			-86																																			north
-90	-86		-70		-66				-92																														-64														-74																																																															north
-92	-90		-74		-68													-78																																																												-74	-78	-74																																				north
-90	-90		-70																-84																																		-68																																																															north
-94	-90		-70		-66																																																																											-78																																				north
	-90		-74		-68														-86																																		-74																																																															north
-90			-70		-68					-96														-88																																																																																												north
-90	-90		-74		-68																																																																																																															north
-90	-90		-70		-66				-94																																																																																																											north
	-90		-70		-66																																																																																																															north
-92	-86	-94	-70		-66																																																																									-74	-78																																					north
-94	-86		-76		-66					-94																																																																																																										north
-96	-90		-70		-68																		-90																																																								-82		-76																																			north
-96	-90		-70		-66														-88																																																																																																	north
-94		-92	-74		-66																																																																																																															north
-90	-88		-70		-66					-96																																											-74																																																															north
-92	-94		-70		-68					-96								-78																																																																																																		north
-96	-90		-70		-66																																																																																																															north
-94	-90	-96	-70		-68													-82																																																												-74	-78																																					north
-94	-92		-74		-66														-88																																																																																																	north
-94	-88	-92	-68		-68					-96																																																																				-68			-76																																			north
-92	-90		-70		-68					-96														-88																																																																																												north
-94	-88		-70		-68				-94	-96																																																																							-86																																			north
-92	-86	-92	-74		-66																																																																																																															north
-90	-90	-94	-70		-66										-92			-80																																																															-88																																			north
-96	-88		-68		-66																																																-68																																																															north
			-74		-68														-86																																																											-74	-78																																					north
-92	-90		-68		-68												-90																																				-74																																																															north
-94	-90				-68														-88																																																																																																	north
-94			-72		-68																																																																																																															north
-90	-88	-94			-66																																																																										-76																																					north
-90	-90		-72		-68																			-92																																																																																												north
-94	-88		-68		-66																																																																																																															north
-88	-86		-70		-68				-92	-96																																																																																																										north
	-88	-92	-68		-68													-80																																			-74																																																															north
-94	-90		-70		-66																																																																																																															north
-92	-88	-94	-72		-68					-96																																																																																																										north
-92	-86		-70		-68																																																																																																															north
	-90		-74							-96																																																																																																										north
-92	-90		-68						-94																																																																					-76																																						north
-94	-88		-70		-68				-94																																																																							-72	-88																																			north
-94	-90		-74		-68																																																																									-68																																						north
-90	-88		-70		-68					-96									-88																																																												-82		-76																																			north
-90	-88	-94	-74		-68				-94																																																																																																											north
-88	-86		-68		-68																																																-74																																																															north
-92	-92	-96	-70		-68													-80																																																																																																		north
-90			-68		-68				-94																																																																																																											north
-94	-90		-68		-66													-80																																																																																																		north
-92	-86		-70		-66																																																																											-72																																				north
-94	-88		-68		-66				-94																																																																					-68																																						north
-92	-90		-70		-68																																																																																																															north
-92	-86	-92	-68		-68																																																																									-68																																						north
-90	-90	-92			-68														-88																																		-74																																																															north
	-90				-66																																																																									-74																																						north
-92		-94	-74		-66																																																																										-78	-68																																				north
			-74		-68																																																																									-68																																						north
-92	-88		-68		-68																																																																										-80	-74																																				north
-92	-90		-72		-68				-94																																																																																																											north
-96	-94		-72		-66																																																																												-76																																			north
	-90				-68													-78																																																																																																		north
-94	-86		-68		-66																			-88																													-76																																																															north
-90	-84		-70		-66																																																																									-74																																						north
-90	-86		-72		-66																																																																										-76																																					north
-94		-94	-68		-68																																																																									-68																																						north
	-86		-68		-68																																																																																																															north
			-74		-66													-78																																																																																																		north
-94	-88	-96	-68		-68																																																																										-76																																					north
	-90		-72		-68																																																																																																															north
	-88	-96	-70		-68																																																-74																											-68																																				north
	-90				-68														-88																																																																																																	north
	-88		-74		-68																																																-68																										-76	-72																																				north
	-90		-70		-68													-82																																																																																																		north
	-90		-70		-68																																																-74																																																															north
	-92		-72		-66																																																																																																															north
-92	-90	-94	-70		-68																																																																																																															north
	-92		-74		-66														-86																																																																																																	north
-94	-88		-74		-68																																																																												-88																																			north
-90	-86		-74		-68																																																																																																															north
-90	-86		-70		-68																																																																										-78	-72	-86																																			north
	-88		-74		-68																																																																																																															north
-90	-88		-70		-68													-80																																			-74																										-78																																					north
-90	-88		-72		-68																																																																																																															north
-94	-86		-72		-68					-96																																																																																																										north
-90	-88				-68																																																																																																															north
	-90		-72		-68																																																																																																															north
