0.76	0.24
0.76	0.24
0.756	0.244
0.76	0.24
0.744	0.256
0.724	0.276
0.736	0.264
0.764	0.236
0.756	0.244
0.762	0.238
0.882	0.118
0.756	0.244
0.75	0.25
0.74	0.26
0.724	0.276
0.756	0.244
0.756	0.244
0.746	0.254
0.738	0.262
0.756	0.244
0.784	0.216
0.86	0.14
0.758	0.242
0.916	0.084
0.924	0.076
0.756	0.244
0.882	0.118
0.72	0.28
0.996	0.004
0.916	0.084
0.926	0.074
0.98	0.02
0.926	0.074
0.946	0.054
0.904	0.096
0.818	0.182
0.758	0.242
0.78	0.22
0.314	0.686
0.03	0.97
0.188	0.812
0.734	0.266
0.692	0.308
0.122	0.878
0.108	0.892
0.164	0.836
0.698	0.302
0.158	0.842
0.074	0.926
0.096	0.904
0.18	0.82
0.832	0.168
0.258	0.742
0.144	0.856
0.754	0.246
0.278	0.722
0.194	0.806
0.336	0.664
0.826	0.174
0.88	0.12
0.944	0.056
0.186	0.814
0.172	0.828
0.336	0.664
0.236	0.764
0.796	0.204
0.94	0.06
0.904	0.096
0.866	0.134
0.864	0.136
0.928	0.072
0.93	0.07
0.93	0.07
0.76	0.24
0.736	0.264
0.764	0.236
1	0
0.874	0.126
0.906	0.094
0.758	0.242
0.758	0.242
0.72	0.28
0.924	0.076
0.806	0.194
0.792	0.208
0.222	0.778
0.762	0.238
0.668	0.332
0.294	0.706
0.03	0.97
0.226	0.774
0.05	0.95
0.846	0.154
0.752	0.248
0.046	0.954
0.458	0.542
0.072	0.928
0.704	0.296
0.802	0.198
0.138	0.862
0.046	0.954
0.672	0.328
0.12	0.88
0.138	0.862
0.032	0.968
0.06	0.94
0.116	0.884
0.282	0.718
0.104	0.896
0.23	0.77
0.646	0.354
0.676	0.324
0.196	0.804
0.496	0.504
0.352	0.648
0.804	0.196
0.79	0.21
0.706	0.294
0.184	0.816
0.104	0.896
0.058	0.942
0.096	0.904
0.04	0.96
0.848	0.152
0.106	0.894
0.904	0.096
0.918	0.082
0.452	0.548
0.076	0.924
0.882	0.118
0.898	0.102
0.362	0.638
1	0
0.914	0.086
0.938	0.062
0.77	0.23
0.812	0.188
0.352	0.648
0.878	0.122
0.98	0.02
0.936	0.064
0.25	0.75
0.12	0.88
0.142	0.858
0.068	0.932
0.326	0.674
0.918	0.082
0.524	0.476
0.934	0.066
0.97	0.03
0.766	0.234
0.98	0.02
0.86	0.14
0.932	0.068
0.94	0.06
0.982	0.018
0.974	0.026
0.934	0.066
0.824	0.176
0.928	0.072
0.776	0.224
0.998	0.002
0.996	0.004
0.926	0.074
0.084	0.916
0.922	0.078
0.996	0.004
0.778	0.222
0.356	0.644
0.982	0.018
0.782	0.218
0.188	0.812
0.792	0.208
0.726	0.274
0.884	0.116
0.756	0.244
0.158	0.842
