-86	-86	-88	-78	-86	-74	-70	-76			-86							south
-86	-92	-90	-84	-86	-78	-68	-74	-94	-90	-90	-80	-92	-90				south
-86	-86	-88	-80	-88	-78	-62	-74	-96			-86	-90	-92	-90			south
-88	-88	-88	-78	-86	-76	-62	-74		-90	-86		-90					south
-86	-90	-90	-78	-88	-78	-64	-74	-94	-88	-94	-92	-92	-92	-94			south
-86	-84	-88	-84	-86	-78	-62	-74		-88	-90	-90	-90					south
-86	-86	-86	-76	-88	-76	-62	-74	-94	-88	-92	-90	-90	-92				south
-86	-86	-88	-76	-86	-78	-70	-74	-94	-90	-86	-86	-90	-90				south
-86	-86	-88	-76	-88	-74	-62	-74	-94	-90	-86	-86	-90	-92				south
-86	-86	-88	-84	-88	-76	-70	-74	-92	-90	-90	-84	-90	-90				south
-86	-86	-86	-76	-88	-74	-66	-74	-94	-90	-90	-86	-92	-90				south
-86	-86	-88	-82	-86	-74	-70	-74	-96		-84	-86	-90	-90				south
-86	-86	-86	-82	-86	-74	-64	-74	-92	-90		-74	-88	-88	-90			south
-86	-86	-86	-78	-86	-76	-66	-80	-94	-90	-90	-78	-90	-96	-86			south
-86	-86	-88		-86	-76	-62	-74	-92	-90		-78		-92				south
-86	-86	-88	-82	-86	-74	-68	-74	-94	-90	-86	-82	-90	-94	-88			south
-86	-86	-88	-78	-86	-78	-68	-74	-96	-88	-86	-84		-90	-88			south
-86	-86	-88	-80	-88	-74	-66	-74	-94	-90	-90	-78	-90	-92	-92			south
-86	-86	-86	-76	-86	-74	-62	-74	-94	-90		-76	-90	-88				south
-86	-86	-86	-80	-86	-78	-70	-74		-90	-90	-74	-90	-90				south
-90	-86	-86	-76	-86	-78	-68	-74	-96	-90	-90	-82	-90	-94				south
-88	-92	-86	-76	-86	-78	-62	-74	-94	-90	-90	-78	-90	-94	-92			south
-86	-86	-88	-76	-88	-76	-68	-74	-94	-90	-90	-78	-90	-88	-92			south
-86	-92	-86	-80	-86	-74	-70	-74	-96	-90	-90	-80	-90	-94	-90			south
-88	-86	-86	-76	-88	-76	-70	-74	-96		-88	-80	-90	-96	-90			south
-86	-92	-86	-80	-88	-78	-66		-96	-90	-86	-90		-94	-90			south
-86	-86	-86	-78		-74	-70	-74	-96	-90	-92	-72	-92	-90	-92			south
-86	-86	-86	-80	-86	-76	-62	-74	-94	-88	-86		-90	-92	-92			south
-86	-86	-86	-80	-88	-74	-70	-74	-96	-90	-84		-90	-92				south
-86	-92	-86	-78	-86	-74	-70	-74	-94		-84		-94	-92	-90			south
