-88	-86	-90	-74					-82			-76																																																																																																									center
-88	-82		-74	-28	-60	-96	-94		-90																																																																																																											center
	-82	-90			-58	-96	-94	-82	-92	-96	-76	-90																																																																																																								center
-90	-82		-82	-26	-60	-96			-94	-96	-76	-90																																																																																																								center
-92	-82		-72	-24	-60	-96	-90	-90	-90	-96	-76	-90	-96				-88		-80																																																																																																	center
-88	-86		-74	-28	-66	-96	-90	-80		-96	-76																																																																																																									center
-92	-82		-74	-26	-66	-96		-82	-92		-76	-90																																																																																																								center
-94	-80		-82	-28	-60	-96		-80	-90		-72		-94																																																																																																							center
-90	-84		-74	-28	-60	-96		-84	-94		-76	-90		-92		-94																																																																																																				center
-90	-80		-74		-58	-96			-90	-96	-70	-90	-96		-86	-96																																																																																																				center
-88	-82	-90	-74	-26	-66	-96		-80			-74	-90					-92																																																																																																			center
-88	-82	-90	-80		-66	-96		-82	-94		-74	-90				-94		-80																																																																																																		center
-88	-84		-82	-24	-60	-96		-88	-94	-96	-84		-94			-96			-80		-92																																																																																															center
-90	-82		-74		-60	-94			-90	-96	-64	-90										-96																																																																																														center
-88	-86		-80	-24	-58	-94			-94	-96		-90	-94			-90																																																																																																				center
-88	-80		-74		-60	-96		-82	-90	-96	-66	-90				-96																																																																																																				center
-88	-80		-74	-26		-96		-82	-94		-64	-90				-96				-96																																																																																																center
-90	-84		-82	-28	-66	-96		-82	-90	-96	-68			-86		-90																																																																																																				center
-90	-84		-80					-82	-90	-96	-66	-88				-94	-88																																																																																																			center
-90	-82		-74	-26	-60	-96			-94	-96	-70	-90				-90		-80																																																																																																		center
-90	-84		-74	-28	-58	-96		-82	-94	-96	-64	-90	-94			-94					-92																																																																																															center
	-82		-74	-26	-58	-96			-92	-96	-66	-90			-86	-96																																																																																																				center
-88	-80		-82	-24		-96		-88	-92	-96	-70	-90				-96		-80			-92																																																																																															center
-90	-82	-90	-74	-28	-66	-96			-94		-70				-86							-96																																																																																														center
-92	-78		-74	-26		-96			-94	-96	-64	-90	-96			-90						-96																																																																																														center
-90	-84		-74	-24	-60	-94		-88	-94		-70					-94																																																																																																				center
	-82			-26	-58	-96		-80	-94		-70	-90	-94										-92																																																																																													center
-92	-80	-96	-74	-24	-58	-96			-94	-96	-70	-90	-94						-80																																																																																																	center
-92	-84	-96	-74			-96			-90	-96	-64	-90				-92		-80																																																																																																		center
-92	-82	-90	-80	-28	-66	-96		-82	-94	-96	-70											-96																																																																																														center
-88	-80		-72			-94		-80		-96	-70	-96								-96																																																																																																center
-88	-78		-74	-28	-60			-90	-92	-96	-64	-90		-86		-92																																																																																																				center
	-82		-72			-96		-84		-96	-66	-90				-92	-88																																																																																																			center
-92	-80		-74	-24	-60	-96		-80	-90		-66	-90				-94			-80																																																																																																	center
-92	-80		-74			-96		-80	-94	-96	-64	-90	-96																																																																																																							center
-90	-84		-74	-26		-96		-88		-96	-70					-96								-92																																																																																												center
-88	-82	-90	-74		-66	-96		-80	-94	-96	-70					-92		-78																																																																																																		center
-88	-82		-80	-28		-96			-92		-64		-94																																																																																																							center
-90	-78	-92	-74		-60	-96		-80	-94		-64					-94																																																																																																				center
-92	-82		-74	-28	-58	-96		-84	-94		-66	-90				-94	-92																																																																																																			center
-92	-86	-90	-74		-58	-96		-80	-90	-96	-72	-90				-96																																																																																																				center
-90	-82	-92	-74	-28	-66	-96			-88	-96	-74					-94			-80	-96																																																																																																center
-90	-80		-74			-96			-90		-70	-90				-92		-80																																																																																																		center
-92	-84	-94	-72	-26	-60	-96			-88		-64	-88				-94					-92																																																																																															center
-92	-84				-58	-96			-94	-96		-96				-96																																																																																																				center
-92	-80		-74		-58	-96				-96	-64						-90				-92		-92	-94																																																																																												center
-92	-80		-70	-28	-68	-96			-92		-64				-86	-92																																																																																																				center
-92	-84	-90	-78		-68	-96		-84	-90			-90		-90		-96	-88		-82																																																																																																	center
-86	-78		-78	-28	-62	-96		-86	-92	-96		-90																																																																																																								center
	-78	-94	-88	-26	-60	-96			-90			-90				-92																																																																																																				center
-88	-82		-86			-94		-82	-94																																																																																																											center
	-82		-74	-28		-96		-82	-94	-94			-94			-96																																																																																																				center
-90	-82	-90		-26	-58	-94		-86	-90	-96		-90				-94																																																																																																				center
-92	-84		-88		-60	-96			-92			-90				-94			-80					-96																																																																																												center
-90	-84		-74	-28	-66	-96		-82	-88						-92	-94																																																																																																				center
	-82		-74	-28		-96			-90	-96		-96				-96							-94																																																																																													center
