1	2	3	4	5	location
-92	-80	-74	-66	-94	center
-88	-84	-74		-88	center
-88	-82	-80	-60	-94	center
-92	-86		-60	-88	center
-88	-84	-74	-60	-90	center
-92	-82	-80	-60	-90	center
-88	-84	-82		-88	center
-92		-82	-68	-90	center
-92	-86	-82	-68	-94	center
-92	-78	-82	-60	-94	center
-88	-82	-74		-94	center
-92	-80		-58	-90	center
-94	-80			-88	center
	-82	-76		-94	center
-92	-82	-82	-66	-90	center
-88	-82	-82	-66	-94	center
-88	-78	-74	-60		center
-92	-82	-82	-58	-90	center
-92	-82				center
	-78	-84	-58	-90	center
-92	-84	-76	-60	-90	center
-92	-82	-76	-68	-94	center
-90	-78	-84	-66	-94	center
-90	-86	-74	-66		center
-88	-78	-74	-58	-94	center
-90	-80	-74	-60	-92	center
-92	-80		-60	-92	center
-90	-78	-74	-64	-88	center
-88	-80		-62	-88	center
-90	-86			-94	center
-88	-82	-74	-58	-92	center
-88	-82	-82		-92	center
-88	-84	-72	-58	-90	center
-90	-78	-74	-58	-92	center
-92	-86	-82		-88	center
-88	-84	-72	-68	-92	center
-90	-78	-86	-66	-88	center
-88	-84	-76	-60	-96	center
-88	-82	-86		-92	center
-90	-84	-78	-60	-90	center
-94	-88	-74		-90	center
-94	-84	-84	-64	-92	center
-92	-82	-82		-94	center
-94	-86		-60	-92	center
-94	-84	-72	-60		center
-94	-86	-80		-90	center
-90	-86	-72	-58		center
-92	-86	-80		-92	center
-92	-88	-74	-64	-94	center
-94	-84	-82		-90	center
-92	-86		-58	-94	center
-90	-82	-78	-58	-96	center
-92	-86	-74	-64	-94	center
-92	-88	-72		-90	center
-92	-84	-86	-58	-90	center
-96	-80	-74		-94	center
-92	-88	-74	-60	-90	center
-92	-84	-78	-64	-92	center
-90	-84	-74	-64	-96	center
-92	-84	-72		-96	center
-92	-88	-78	-60		center
	-82	-72			center
-92	-80		-58	-94	center
	-80	-80	-66	-92	center
-92	-88	-72		-92	center
-94	-88	-72	-60	-92	center
-92	-82	-72	-58	-96	center
-90	-84	-72	-60	-96	center
-94	-82	-74		-92	center
-92	-88	-78	-66	-94	center
-92	-86	-72		-90	center
	-84	-72	-58	-96	center
-92	-84		-58	-94	center
-94	-82	-74	-58	-94	center
-94	-86	-74	-66		center
-92	-80	-76		-92	center
-94	-82	-74	-60	-92	center
-96	-84	-74		-92	center
-92	-86	-78	-58	-94	center
-94	-86	-74	-58	-90	center
-94	-88	-78	-66	-94	center
-94	-82	-78	-66		center
-90	-82	-74	-58	-90	center
-94	-90	-78	-60	-90	center
-90	-82	-78			center
-94	-84	-74	-66	-90	center
	-84	-74			center
-96	-80	-80	-60	-92	center
-96	-80	-74	-60		center
	-86	-80		-94	center
-96	-80	-80	-58	-94	center
-96	-88	-74		-92	center
	-88	-74	-66	-90	center
-94	-80	-72		-94	center
	-86		-60		center
-94	-84	-74	-58	-96	center
	-84	-78	-58		center
-92	-84	-76		-90	center
-94	-84	-72	-66	-92	center
-90	-80	-78		-94	center
-94	-90	-76	-58	-92	center
-92	-88	-82	-58		center
-90	-86	-80	-60	-94	center
-86	-78	-72	-60	-88	center
-96	-90		-64	-92	center
-94	-80	-76	-66	-94	center
-90	-90	-74	-58	-94	center
-88	-94	-80		-90	center
	-82	-74	-58	-92	center
-90	-84	-74	-60		center
-96	-80	-76	-64	-90	center
-96	-88	-74	-64		center
-88	-90	-82	-58		center
-96	-84		-58	-90	center
-92	-86	-80		-94	center
-88	-80	-82	-60	-94	center
-92	-82		-60	-92	center
-92	-82	-78	-64	-92	center
-96	-84	-76	-66	-88	center
-90	-86	-76		-88	center
-90	-78	-80	-60	-94	center
-92	-78	-76	-58	-94	center
-92	-82				center
-92	-84	-76	-66		center
-90	-90	-78	-66	-94	center
-94		-76		-92	center
-88	-84	-78	-60		center
-90	-82	-78		-88	center
-92	-88	-80	-60		center
-92	-80	-78	-60		center
-88	-88	-78	-72		center
	-82	-76	-74	-88	center
-88	-84	-76		-90	center
	-82		-60		center
-92		-76			center
-94	-80		-60	-90	center
-96	-90	-76	-60	-90	center
	-80	-76	-68	-90	center
		-78	-68	-94	center
-88	-82	-78		-96	center
-94		-76	-60	-94	center
	-80		-60	-90	center
-90	-80	-78	-68	-90	center
-94	-82	-76	-68	-94	center
	-90	-82			center
-94	-80	-76	-60	-94	center
-92	-78	-76		-94	center
-92	-82	-80			center
-94	-82	-78	-60	-92	center
-94	-90	-78	-60		center
-94	-82	-78		-90	center
-94	-80	-78	-68	-90	center
-94	-92	-76			center
-88	-94	-76	-60		center
-88	-82		-60	-94	center
-88	-78	-76	-60	-90	center
	-82	-78	-72	-94	center
	-84	-76	-72	-88	center
-92	-80	-76		-94	center
-92	-90	-76	-60	-90	center
-94	-84	-78		-88	center
	-86	-76	-60	-94	center
-90	-78	-76	-70	-88	center
-88	-82	-80		-88	center
-96	-84	-76		-88	center
-94	-82	-80	-60	-88	center
-94	-78	-76	-60	-94	center
-90	-82	-78	-58		center
-88	-82	-80	-70	-90	center
-88	-80		-68		center
-90	-92	-78	-60		center
-92		-82			center
-94			-60		center
		-78	-60		center
	-82		-68		center
		-78	-68		center
-90	-82	-76		-90	center
-94	-82	-78	-60	-90	center
-90	-80	-76	-60		center
-94	-82	-76	-60	-94	center
-92	-82	-80		-90	center
-90		-78	-68	-94	center
-92	-78	-78	-68	-94	center
-90	-80	-76	-60	-94	center
-90	-82	-78			center
-92	-84	-76	-60	-94	center
-90	-82	-82		-88	center
-96	-82	-82	-68	-88	center
-88	-80	-76	-68		center
	-80	-74	-60	-88	center
-92	-80	-80	-60	-88	center
-94	-82	-76	-60		center
-88	-82	-76		-90	center
-88	-90	-82	-60		center
-88	-82	-76	-60	-90	center
-88	-80	-84	-68	-90	center
-94	-80	-84	-68	-90	center
-88	-82	-76		-90	center
-88	-82	-76	-60	-90	center
-90	-82	-84			center
	-82	-78	-60	-90	center
	-82	-76	-60	-90	center
	-82	-80	-66	-90	center
-88	-88	-76	-66	-96	center
-88	-82	-78	-60		center
-88	-82	-74	-60	-90	center
	-82	-78	-60	-90	center
-88	-84	-76	-60	-90	center
-92	-82	-74	-68	-90	center
-88	-80	-76	-68	-90	center
		-80		-96	center
-94	-80	-76	-60	-90	center
-94	-82	-82	-60	-90	center
	-82	-76	-60		center
-88	-82		-60	-96	center
-96	-82	-78		-96	center
-94	-78	-76	-66	-96	center
-92	-82	-80	-66	-96	center
-90	-84	-76	-58	-96	center
-90	-84	-78		-96	center
-88	-88	-80	-60	-94	center
-96	-88	-78			center
-94			-68	-88	center
-94	-84	-78	-60	-94	center
-90		-76	-60	-96	center
-88		-78	-60	-90	center
-88	-78	-76	-60	-88	center
-88	-92			-88	center
-94	-84	-78	-68	-96	center
-94	-80	-76		-96	center
	-80	-76	-60	-96	center
	-78	-78		-90	center
	-84	-78	-62	-90	center
-94	-84		-62		center
-92	-80		-68	-96	center
-90	-82	-78	-68	-90	center
-88	-80	-76	-60	-90	center
-92		-82	-60	-90	center
-90	-82	-78	-60	-90	center
-88	-82	-78	-60		center
-92	-80	-78			center
-90	-90	-78	-68	-96	center
	-82	-78			center
-90	-80	-82	-60	-90	center
	-88	-78	-60	-96	center
-90	-80	-82	-62	-94	center
-92	-80	-78	-60	-90	center
-92	-90	-78	-68	-90	center
-90	-82	-82	-68	-90	center
	-80	-78	-60	-90	center
-94	-82	-78	-60	-90	center
-90	-80		-60	-94	center
-90	-82	-78	-68	-88	center
-90	-80	-78	-68	-94	center
-94	-82	-76	-60	-90	center
-90			-60	-88	center
-92	-88	-78	-60	-88	center
-92	-82	-76	-60	-88	center
	-88	-82	-68		center
-90	-82		-68	-94	center
-94	-82	-78		-90	center
-88		-82	-60	-96	center
	-80	-78	-60	-94	center
-88	-82	-76	-60		center
-88	-84	-78	-68	-94	center
-94	-90	-80	-68	-94	center
-90	-82	-78	-60		center
-94	-90	-80	-60	-88	center
-94	-80	-76		-88	center
-92	-80	-76	-60	-88	center
-90		-80	-68		center
-94	-80		-68	-88	center
-94	-82		-60	-94	center
-88	-92	-76	-60	-90	center
-94	-82			-94	center
-96	-80	-80	-60	-88	center
	-92	-76	-70	-88	center
-96	-78	-78	-70		center
-94	-90			-94	center
-88	-90	-76		-96	center
-92	-90	-74	-60	-96	center
-88	-90	-76	-58	-94	center
-88	-88	-76		-90	center
			-68	-96	center
	-78	-78		-88	center
	-88	-80		-88	center
-90	-82	-76			center
-90	-82	-80	-60		center
-90	-80	-78		-92	center
	-84	-78	-60		center
-90	-84	-78			center
	-82	-78	-70	-94	center
	-82	-78	-72	-94	center
-96	-82	-80	-62	-90	center
-96	-80	-78			center
-94	-90	-76	-60	-88	center
	-84	-80	-60		center
-96	-80	-76	-70	-88	center
-94	-90	-76		-94	center
-88	-84	-76	-62	-88	center
-96	-84	-76	-62	-94	center
-94	-84	-76	-60	-90	center
-94	-90	-76	-70	-96	center
-96	-80	-76	-70		center
-94	-80	-76	-60	-94	center
-90	-88	-76	-60	-88	center
-96	-90		-60	-96	center
-92	-80	-76	-70	-88	center
-94	-82				center
-90	-88	-78	-60	-96	center
-90	-86	-80	-60	-96	center
-90	-82	-78			center
-88	-78	-80	-62	-96	center
-90	-82	-80			center
-88	-86	-78	-70	-88	center
-88	-90	-80		-88	center
-92	-88	-76	-62	-94	center
-90	-84	-78	-60	-88	center
-92	-80	-76	-60		center
-94	-88	-76	-70	-96	center
-90	-88			-88	center
-92	-84		-60		center
-90	-82	-78	-60	-96	center
-94	-84	-82	-60		center
-94	-80	-76		-90	center
-88	-88	-76	-70	-94	center
-90	-86	-80			center
-94	-84	-76	-60		center
-90	-82		-60	-88	center
-94	-86	-76	-62	-96	center
-88	-80	-76		-96	center
-94	-82	-76	-68		center
-96	-84	-76		-96	center
-96	-84	-76	-60	-88	center
-90	-80	-76	-60	-88	center
-96	-80		-60	-96	center
-90	-84	-82	-60	-88	center
-94	-88	-76		-88	center
-94	-88	-76	-76		center
-90	-84		-60	-96	center
-90	-82		-60	-88	center
-90	-80	-76	-60	-88	center
-94	-88	-82	-60		center
-94	-88	-76	-68		center
-90	-84	-82	-68	-88	center
-90	-80	-82	-60	-88	center
-90	-88	-76	-60	-88	center
-94	-82	-76	-60	-96	center
-94	-88	-76		-88	center
-90	-80		-68		center
-88	-80	-76		-96	center
-94	-80	-76	-60		center
-90	-88		-60	-96	center
-90	-80	-76	-60	-88	center
-90	-80	-76	-68	-88	center
	-90	-76	-70	-96	center
	-88	-82	-60	-94	center
-92	-90	-78	-60		center
-92	-82	-80	-60		center
-92	-90	-80	-60	-88	center
-92	-88	-78	-70	-94	center
-94	-80	-76		-88	center
-94	-82	-76	-60	-88	center
-90	-84	-76	-60	-96	center
-90	-82	-82	-60		center
-94	-80	-76	-60		center
-94	-86	-76	-68	-96	center
-92	-82	-80	-70	-88	center
-90	-82	-78	-60	-88	center
-94	-90	-82	-60		center
-92	-80		-60	-96	center
-94	-84	-82	-60	-96	center
-90		-76	-68		center
		-78			center
-94	-88	-82	-60	-88	center
-90		-76	-60	-96	center
-90	-88	-82	-60	-96	center
-90	-80	-78		-96	center
-88	-88	-76	-68	-96	center
	-80	-80		-88	center
-90	-80		-60	-88	center
-94	-80	-78	-60		center
-88	-80	-76	-60	-88	center
-90	-90	-76	-60	-94	center
-92	-92			-88	center
-90	-82	-76	-70	-88	center
-94	-90	-82		-94	center
-90	-80	-78	-60	-94	center
-90	-78	-82	-60		center
-90	-84	-76	-60	-96	center
-90	-78	-80		-88	center
-90	-88	-82	-68	-90	center
-90	-84	-82		-94	center
-94	-84	-78	-60	-94	center
-90	-82	-78	-60	-96	center
-92	-84	-82	-60	-88	center
-94	-80	-76	-60		center
-90	-80	-82	-60	-88	center
-94	-84	-82	-66	-94	center
-88	-86	-78		-90	center
-90	-84	-78		-88	center
	-78	-82	-60	-88	center
-94	-88	-76	-60	-88	center
-88	-84	-82	-60	-88	center
-88		-82	-60		center
-90		-76	-68		center
-90	-88	-76		-88	center
-94	-86	-76	-60	-88	center
	-86	-76	-60		center
	-88		-60	-88	center
-92	-88	-76	-70		center
-90	-80	-78	-70	-88	center
-90	-84	-76		-88	center
-92	-84	-82	-60		center
-96	-80	-78		-96	center
-94	-80	-82	-60		center
	-88	-82	-60		center
-92	-82	-78	-68	-96	center
-90	-82	-76	-68	-96	center
		-76			center
-94	-82	-78	-60	-96	center
	-84			-88	center
-90	-84	-76	-60		center
-92	-84	-82	-68		center
-90		-76	-68		center
-92	-84	-76	-60	-94	center
-88	-84	-82	-60	-88	center
	-78	-76	-60	-88	center
-92		-76	-68	-94	center
-92	-90	-78	-68	-96	center
-92	-82	-78	-60		center
	-80	-78	-60	-94	center
-90	-84	-78			center
-94	-84	-78	-60	-96	center
-92	-88	-78	-60	-94	center
-90	-84	-76	-68	-88	center
	-82		-68		center
-90	-80	-82		-96	center
-94	-86		-60		center
	-80	-82	-60	-90	center
-94	-88		-60	-88	center
	-84	-82	-68	-96	center
-90	-88	-78	-60		center
-94	-82	-82	-60		center
-90	-80	-82			center
-88	-80		-60	-88	center
-88	-86		-60	-88	center
-94	-86	-78	-68		center
-94	-80	-76		-94	center
	-86	-82	-60	-94	center
-94	-86	-76		-88	center
-94	-80	-82	-60		center
-90	-82		-68	-90	center
-90	-78	-76	-70	-96	center
-94	-88	-78	-60	-88	center
