1	2	3	4	5	6	location
-92	-86	-80	-94	-70	-84	north
-92	-84	-80		-70	-86	north
-90	-80	-82		-66	-86	north
-92	-86	-82	-94	-70	-86	north
-92	-86	-80	-94	-66	-86	north
		-80	-96	-66	-88	north
-92	-84	-78	-92	-72	-86	north
-92	-84	-78	-96	-72	-88	north
-92	-84	-80	-94	-70	-88	north
	-84	-80	-94	-76	-84	north
-92	-84		-94	-68	-86	north
-90	-86	-80	-92	-70	-86	north
	-84	-80		-66		north
-92	-82	-78	-92	-74	-86	north
-90	-84	-82	-92	-82	-86	north
-90	-84	-80	-92	-88	-84	north
-92	-80	-78	-92	-86	-82	north
-92	-86	-78	-94	-86	-84	north
-90	-84	-82		-86	-82	north
-94	-80	-82	-94	-86	-84	north
-92	-84	-80	-96	-86	-84	north
-88	-82	-82	-92	-88	-84	north
	-82	-80	-94	-70	-84	north
-90	-84	-78		-68	-84	north
-92	-80	-82	-96	-76	-84	north
-90	-80	-82	-94	-76	-80	north
-92		-78		-72	-82	north
-92	-82	-80	-94	-64	-80	north
-92	-82	-80	-92	-72	-80	north
	-82	-78		-64	-84	north
	-84	-80	-92	-64	-84	north
	-80	-78	-90	-76	-84	north
